gid,nu_cep_farmacia,ano_farm_pop,mes_farm_pop
17,69095000,2014,2
444,49075120,2014,2
543,77405110,2014,2
234,68371000,2014,2
41,45653650,2014,2
13,69800000,2014,2
188,35900199,2014,2
544,77016010,2014,2
26,68925000,2014,2
175,31210780,2014,2
260,68180610,2014,2
168,65630220,2014,2
243,66000000,2014,2
68,40290500,2014,2
386,5962500,2014,2
73,40375010,2014,2
315,56330075,2014,2
113,62900000,2014,2
396,78900850,2014,2
306,54768000,2014,2
321,64200361,2014,2
186,35010280,2014,2
119,29146330,2014,2
271,68552390,2014,2
445,49010180,2014,2
155,65900100,2014,2
394,59141175,2014,2
27,48010110,2014,2
252,68400000,2014,2
19,69088480,2014,2
75,40255010,2014,2
214,35180010,2014,2
5,57480000,2014,2
101,60720901,2014,2
178,32600126,2014,2
37,44030000,2014,2
255,68743020,2014,2
38,44010530,2014,2
292,58081000,2014,2
542,7780490,2014,2
105,6293000,2014,2
392,59056070,2014,2
213,39800127,2014,2
153,65268000,2014,2
341,23900440,2014,2
107,61932330,2014,2
317,50030220,2014,2
217,38017020,2014,2
39,44010150,2014,2
64,40323085,2014,2
268,68625970,2014,2
210,36300086,2014,2
174,30640100,2014,2
320,64215360,2014,2
3,57300590,2014,2
108,61940180,2014,2
291,58028110,2014,2
270,68480000,2014,2
259,68430000,2014,2
235,67030970,2014,2
184,3524000,2014,2
86,45020756,2014,2
125,29018190,2014,2
53,48903970,2014,2
328,64055410,2014,2
327,64001160,2014,2
197,39400433,2014,2
288,58105341,2014,2
157,65715000,2014,2
166,65036280,2014,2
387,59610090,2014,2
52,45200170,2014,2
248,66077650,2014,2
156,65485000,2014,2
266,68220000,2014,2
345,27345250,2014,2
114,62010820,2014,2
42,45651250,2014,2
263,68507560,2014,2
322,6460000,2014,2
29,47800050,2014,2
158,65130000,2014,2
393,59025400,2014,2
74,41900170,2014,2
343,27113040,2014,2
316,56310270,2014,2
89,61700000,2014,2
54,48907630,2014,2
71,41338700,2014,2
275,68560,2014,2
279,68458030,2014,2
32,42800140,2014,2
69,40421530,2014,2
167,65010000,2014,2
12,69460000,2014,2
241,66914050,2014,2
95,61610140,2014,2
22,69153010,2014,2
267,68270000,2014,2
302,58300410,2014,2
278,68680000,2014,2
100,60740010,2014,2
451,49900000,2014,2
164,6523500,2014,2
187,35160003,2014,2
120,29140180,2014,2
76,40414120,2014,2
324,64079345,2014,2
34,4438000,2014,2
20,69059500,2014,2
191,36016200,2014,2
10,57625000,2014,2
287,58108185,2014,2
62,41185300,2014,2
313,53120010,2014,2
63,41710000,2014,2
349,28922270,2014,2
211,35700004,2014,2
176,30170110,2014,2
61,40750630,2014,2
91,6318000,2014,2
285,58104053,2014,2
78,4457108,2014,2
325,64008190,2014,2
6,57084050,2014,2
98,63100020,2014,2
181,35300085,2014,2
193,3670000,2014,2
23,69750000,2014,2
389,59108355,2014,2
245,66812020,2014,2
202,38700118,2014,2
65,41260340,2014,2
281,68620000,2014,2
99,60055090,2014,2
24,69470000,2014,2
397,7891049,2014,2
85,4502503,2014,2
2,69808030,2014,2
218,37002250,2014,2
25,68906005,2014,2
67,41192005,2014,2
169,65430000,2014,2
314,56200000,2014,2
303,58800130,2014,2
293,5801342,2014,2
170,65365000,2014,2
18,69039110,2014,2
206,33943720,2014,2
238,67010250,2014,2
118,29300205,2014,2
286,58102300,2014,2
489,17201430,2014,2
137,73752106,2014,2
370,21941510,2014,2
423,93010020,2014,2
353,23815260,2014,2
517,15010011,2014,2
413,90035003,2014,2
495,13800012,2014,2
484,8570050,2014,2
501,9420000,2014,2
354,26435210,2014,2
499,12401390,2014,2
512,9626130,2014,2
432,88330104,2014,2
132,74055050,2014,2
529,3634020,2014,2
471,8530000,2014,2
439,88502070,2014,2
513,9721230,2014,2
334,80020060,2014,2
434,89812110,2014,2
524,1011000,2014,2
337,8705028,2014,2
511,9830100,2014,2
131,73813470,2014,2
401,96400902,2014,2
536,8633435,2014,2
366,27510071,2014,2
365,26325250,2014,2
533,13170026,2014,2
541,13270200,2014,2
506,13450018,2014,2
507,9117000,2014,2
496,6097090,2014,2
538,12010120,2014,2
436,88010200,2014,2
502,14110000,2014,2
514,9860215,2014,2
406,93260006,2014,2
486,13300489,2014,2
468,12701360,2014,2
340,8401001,2014,2
359,26510660,2014,2
516,13560680,2014,2
520,2012080,2014,2
510,11015471,2014,2
515,9521160,2014,2
126,75020090,2014,2
382,25804130,2014,2
500,8562140,2014,2
116,73055502,2014,2
480,18400240,2014,2
369,20221250,2014,2
497,6286010,2014,2
505,13320220,2014,2
142,72871073,2014,2
456,19802080,2014,2
487,13308104,2014,2
481,6694040,2014,2
339,83215670,2014,2
461,18600031,2014,2
400,97541100,2014,2
525,4132000,2014,2
422,93010020,2014,2
135,72814590,2014,2
221,7933005,2014,2
467,6716700,2014,2
412,99010100,2014,2
494,9390090,2014,2
469,9911180,2014,2
331,87302210,2014,2
437,88310160,2014,2
508,9000000,2014,2
138,75901050,2014,2
464,13010041,2014,2
440,88131300,2014,2
472,7901080,2014,2
482,6680420,2014,2
338,87020900,2014,2
454,16010340,2014,2
229,78550171,2014,2
462,12281550,2014,2
136,72860110,2014,2
523,4743060,2014,2
459,14700349,2014,2
493,9310370,2014,2
479,6850080,2014,2
491,17501000,2014,2
367,2880000,2014,2
528,2732000,2014,2
330,83702080,2014,2
503,14010040,2014,2
457,18700005,2014,2
521,5786040,2014,2
458,14780310,2014,2
537,6775540,2014,2
363,25610000,2014,2
483,8577290,2014,2
368,20973011,2014,2
527,3143003,2014,2
532,14170620,2014,2
232,78118120,2014,2
463,13073021,2014,2
402,92310008,2014,2
470,9932340,2014,2
473,7802050,2014,2
465,6320290,2014,2
362,2397000,2014,2
416,97573011,2014,2
455,14801901,2014,2
355,27910000,2014,2
257,68750000,2014,2
